title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ARO 4260 - Surface Transportation and Power Generation Systems (3),"Aerospace fundamentals of high-speed surface systems. Station to station concepts. Air cushion and tubeflight systems. Airload determination. Drag reduction. Propulsion systems and braking. Guideway considerations, stability and control. ARO Majors, and C or better in ARO 305 or . Lecture Graded Only May be taken only once Major Course",3.5,Power Generation,use-3,"{""power generation"": 1}"
AHS 3369L - Lab Animal and Exotic Animal Medicine Laboratory (1),"Instruction on handling and restraint, identification, and common procedures of laboratory and exotic animals. Instruction includes concepts of laboratory animal facility management, personnel, quality assurance, animal welfare and husbandry. Emphasis is placed on the role of the veterinary technician. Animal Health Science major, AHS 104 or , AHS 129 or , AHS 129L or , and junior or senior standing. . Laboratory Graded Only May be taken only once Major Course",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
ABM 4500 - Agricultural Water Resource Management (3),"Water resource management applied to current issues. Water delivery systems in the United States and California, survey of water rights, water pollution, water conservation, food and agricultural system water use, and efficient water management. Includes water problems in developing nations. Lecture Graded Only May be taken only once Major Course",2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
ANT 3400L - Comparative Primatology Laboratory (1),"Multimedia exploration of the Primates, Bio-social traits, distribution, range of variation, and evolutionary background of prosimians, New World monkeys, Old world monkeys, apes, and humans. Humans in a comparative primate perspective. 3 hours laboratory. or Instructor consent. . Laboratory 3 hours laboratory. Graded Only May be taken only once Major Course",1.5,ProSim,technical_skills-1,"{""prosim"": 1}"
ANT 3400 - Comparative Primatology (2),"Multimedia exploration of the Primates, Bio-social traits, distribution, range of variation, and evolutionary background of prosimians, New World monkeys, Old world monkeys, apes, and humans. Humans in a comparative primate perspective. 2 hours lecture/discussion. or Instructor Consent. . Lecture 2 hours lecture/discussion. Graded Only May be taken only once Major Course",1.5,ProSim,technical_skills-1,"{""prosim"": 1}"
AMM 4680L - Innovative Textiles Laboratory (1),"Various new technologies of fiber, yarn, fabric, dyeing, finishing, sport textiles, smart textiles, digitized printing, medical textile in textiles etc. Theory and principle of textile technologies synthesized for appropriate applications and end uses with sustainability considerations. Experimentation and utilization of innovations in textile field for the purposes of forming in-depth analysis and reasoned conclusions. An exploration into contemporary, innovative textiles in the current marketplace for sustainability and social responsibility. AMM 360 or ; and AMM 360L or . . Laboratory Graded Only May be taken only once Major Course",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
AMM 4680 - Innovative Textiles (2),"Various new technologies of fiber, yarn, fabric, dyeing, finishing, sport textiles, smart textiles, digitized printing, medical textile in textiles etc. Theory and principle of textile technologies synthesized for appropriate applications and end uses with sustainability considerations. Experimentation and utilization of innovations in textile field for the purposes of forming in-depth analysis and reasoned conclusions. An exploration into contemporary, innovative textiles in the current marketplace for sustainability and social responsibility. AMM 360 or ; and AMM 360L or . . Lecture Graded Only May be taken only once Major Course",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
AMM 4600L - Textile Coloration Laboratory (1),"Chemical and physical nature and component of fibers and dyes. Application of textile colorants including natural dyes, synthetic dyes, and pigments. Principles of textile dyeing and printing techniques, process, and practices. Color theory relate to textile design, production, marketing, and promotion, as well as coloration application techniques, color measurement principles and their applications in the textile and apparel industries emphasizing sustainability. AMM 360 or ; and AMM 360L or . . Laboratory Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AMM 4600 - Textile Coloration (2),"Chemical and physical nature and component of fibers and dyes. Application of textile colorants including natural dyes, synthetic dyes, and pigments. Principles of textile dyeing and printing techniques, process, and practices. Color theory relate to textile design, production, marketing, and promotion, as well as coloration application techniques, color measurement principles and their applications in the textile and apparel industries emphasizing sustainability. AMM 360 or ; and AMM 360L or . . Lecture Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AMM 4530 - Fashion Supply Chain and Sustainability (3),"The process of bringing fashion items from producers to the market, which includes activities of designing, product development, inbound logistics, production, marketing and sales, outbound services, and return actions for fashion products. The role of supply chain management in the fashion industry, with a focus on sustainability and operational efficiency. Senior Standing. Lecture Graded Only May be taken only once Major Elective Course",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
AMM 4150 - Sustainable Innovations in Fashion (3),"Focuses on the environmental impact assessment of textile and apparel and related products across their entire life cycle, as well as the implementation of sustainable innovative strategies to mitigate their environmental footprint. Explores the main concepts of life cycle assessment, case study analysis, and group projects in sustainable fashion innovations through material selection, circular design, and up-cycling through lectures and practical solutions. Helps gain the skills needed to evaluate, redesign, and up-cycle clothing and textiles, thereby shaping a more environmentally conscious fashion industry. Senior standing. Lecture 3 hours lecture/discussion Graded Only May be taken only once Major Required Course",6.5,Environmental Impact Assessment;Material Selection;Life Cycle Assessment,sustainability_and_policy-4;technical_skills-1,"{""environmental impact assessment"": 1, ""life cycle assessment"": 1, ""material selection"": 1}"
AMM 3920 - Fashion Operations Management (3),"An introduction to operations management in the apparel industry. Basic concepts, techniques, and methods in operations management related to apparel production. MRP, project management, forecasting, resource allocation, decision theory, capacity planning, quality control, inventory management, and work-study concepts are explained. Emphasis on demand-activated apparel production control. AMM 381 or ; and AMM 381L or . Lecture Graded Only May be taken only once Major Course",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
AMM 3815L - Footwear Manufacturing Laboratory (1),"Practical study of footwear manufacturing from drafting and development through material selection, upper, In-sole, Mid-sole and Out-sole construction, prototyping and finishing as they apply to different footwear types. Reference to footwear construction, quality, costing, sourcing production, and industrial production equipment including innovative production processes and sustainability. Site visits to footwear and accessory developers/manufacturers. . . Laboratory Graded including RP May be taken only once Non-Major/Non-Service Course",6.0,Material Selection;Sustainability,sustainability_and_policy-4;technical_skills-1,"{""sustainability"": 1, ""material selection"": 1}"
AMM 3600L - Textile Quality Assurance Laboratory (1),"Principles and practices in specification testing of textiles, trim, and findings. Performance and appearance testing, labeling and certification requirements. Laboratory testing of textile materials. Introduction to the color approval processes. AMM 260 or ; AMM 260L or ; CHM 121, , CHM 101, , PHY 102, or ; and CHM 121L, , CHM 101L, , PHY 102, or . . Laboratory Graded Only May be taken only once Major Course",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
AMM 3600 - Textile Quality Assurance (2),"Principles and practices in specification buying of textiles, trim, and findings. Performance and appearance testing, labeling and certification requirements. Accompanied by Laboratory Testing of textile materials. Introduction to the color approval processes. AMM 260 or ; AMM 260L or ; CHM 121, , CHM 101, , PHY 102, or ; and CHM 121L, , CHM 101L, , PHY 102, or . . Lecture Graded Only May be taken only once Major Course",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
AMM 3140A - Apparel Technical Design Activity (2),"Principles and methods of developing apparel technical packages. Creation and evaluation of patterns and ready-to-wear garments for style variations and garment construction. Creation of a technical package including technical drawings to scale, pattern card, fitting, and specifications. Selection of wholesale materials and packaging based on target market requirements. Calculation of wholesale garment cost. Visual and written projects. AMM 310 or ; and AMM 310A or . . Activity Graded Only May be taken only once Major Course",2.5,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 1}"
AMM 3140 - Apparel Technical Design (1),"Principles and methods of developing apparel technical packages. Creation and evaluation of patterns for style variations and garment construction. Creation of a technical package including creating technical drawings to scale, pattern card, fitting, and specifications. Selection of wholesale materials and packaging based on target market requirements. Calculation of wholesale garment cost. Visual and written projects. AMM 310 or ; and AMM 310A or . . Lecture Graded Only May be taken only once Major Course",2.5,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 1}"
AMM 2800L - Apparel Quality Management Laboratory (1),"Identification, analysis, and comparison of features and garment components in ready-to-wear apparel to learn and manage apparel quality. Consideration of design elements and principles in apparel design to meet consumer expectations. Identification of testing methods for quality assurance in the apparel industry. Use of industrial equipment to analyze construction methods and problems. Use of specifications, technical packages, and spreadsheet programs for product consistency. or AMM 210, or AMM 210A, AMM 160 or , and or AMM 160L. . Laboratory Graded Only May be taken only once Major Required Course",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
AMM 2800 - Apparel Quality Management (2),"Identification, analysis, and comparison of features and garment components in ready-to-wear apparel to learn and manage apparel quality. Consideration of design elements and principles in apparel design to meet consumer expectations. Identification of testing methods for quality assurance in the apparel industry. Use of industrial equipment to analyze construction methods and problems. Use of specifications, technical packages, and spreadsheet programs for product consistency. or AMM 210, AMM 210A or ; AMM 160 or , and AMM 160L or . . Lecture Graded Only May be taken only once Major Required Course",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
ARC 4340 - Tools for Sustainability (3),"Environmental assessment tools for sustainable design. Computational tools for the early stages of design to evaluate and estimate building performance. ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ; and ARC 331A or . Seminar Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ARC 4310 - Sustainable Technology (3),"Integration and management of buildings systems to minimize environmental impact and reduce a building’s environmental footprint. Topics include sustainable materials, green building design criteria, passive heating and cooling systems, active solar systems, sustainable building and energy technologies, green building rating systems. Seminar-discussion course with emphasis on student research. ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ; and ARC 331A or . Seminar Graded Only May be taken only once Major Course",3.5,Cooling Systems,delivery_and_storage-3,"{""cooling systems"": 1}"
ARC 3322 - Environmental Controls 2 Discussion (1),"Performance principles and systems to safeguard occupant comfort while reducing environmental impact and approaching carbon neutrality. Survey of lighting, HVAC systems, acoustics, plumbing, electric and other building control systems. ARC undergraduate standing; ARC 331 or ; and ARC 331A or . . Lecture Graded Only May be taken only once Major Course",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ARC 3320 - Environmental Controls 2 (2),"Performance principles and systems to safeguard occupant comfort while reducing environmental impact and approaching carbon neutrality. Survey of lighting, HVAC systems, acoustics, plumbing, electric and other building control systems. ARC undergraduate standing; ARC 331 or ; and ARC 331A or . . Lecture Graded Only May be taken only once Major Course",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ARC 3312 - Environmental Controls Systems 1 Discussion (1),"Performance principles and systems to reduce the environmental impact of buildings and to address occupant comfort. Thermal comfort, climate analysis, solar geometry, daylighting, passive heating and cooling, renewable energy and mechanical systems. ARC undergraduate standing; ARC 201 or ; and ARC 201L, , or and . . Lecture Graded Only May be taken only once Major Course",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
ARC 3310 - Environmental Controls Systems 1 (2),"Performance principles and systems to reduce the environmental impact of buildings and to address occupant comfort. Thermal comfort, climate analysis, solar geometry, daylighting, passive heating and cooling, renewable energy and mechanical systems. ARC undergraduate standing; ARC 201 or ; and ARC 201L, , or and . . Lecture Graded Only May be taken only once Major Course",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
ANT 4180 - Business Anthropology (3),"Application of organizational anthropology and research methods to understand business practices. Topics include theories of organizational anthropology, fieldwork in business settings, cultural studies of consumers and markets, organizational culture, and human resource management. Junior or Senior Standing. Lecture Graded Only May be taken only once Major Course",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
ANT 3970 - Cultural Resource Management (3),"Philosophical and practical aspects of cultural resource management. History and current status of laws and procedures affecting the protection, evaluation, and management of prehistoric, historic, ethnographic, and other cultural resources, with particular emphasis on California. 3 hours lecture/discussion. Junior or Senior Standing. Lecture 3 hours lecture/discussion. Graded Only May be taken only once Major Course",2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
ARC 6590 - Integrating/Managing New Technology in Architecture Practice (3),"The study of the integrating expanding digital technologies for project management, billing, cost modeling, Building Information Modeling (BIM). ARC graduate standing. Seminar Graded Only May be taken only once Major Course",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ARC 5322 - Environmental Controls 2 Discussion (1),"Performance principles and systems to safeguard occupant comfort while reducing environmental impact and approaching carbon neutrality. Survey of lighting, HVAC systems, acoustics, plumbing, electric and other building control systems. ARC graduate standing, , and ; or permission of the Graduate Coordinator. . Lecture Graded Only May be taken only once Major Course",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ARC 5320 - Environmental Controls 2 (2),". Performance principles and systems to safeguard occupant comfort while reducing environmental impact and approaching carbon neutrality. Survey of lighting, HVAC systems, acoustics, plumbing, electric and other building control systems. ARC graduate standing, , and ; or permission of the Graduate Coordinator. . Lecture Graded Only May be taken only once Major Course",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ARC 5312 - Environmental Controls Systems 1 Discussion (1),"Performance principles and systems to reduce the environmental impact of buildings and to address occupant comfort. Thermal comfort, climate analysis, solar geometry, daylighting, passive heating and cooling, renewable energy and mechanical systems. ARC graduate standing. . Lecture Graded Only May be taken only once Major Course",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
ARC 5310 - Environmental Controls Systems 1 (2),"Performance principles and systems to reduce the environmental impact of buildings and to address occupant comfort. Thermal comfort, climate analysis, solar geometry, daylighting, passive heating and cooling, renewable energy and mechanical systems. ARC graduate standing. . Lecture Graded Only May be taken only once Major Course",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
ARC 4880 - Healthcare Facility Design and Sustainability (3),"Concepts, strategies and tools for the design of hospitals with increased patient and staff satisfaction, reduced environmental impact, and minimum cost difference from conventional hospital construction. Special emphasis on the links between environmental variables and human health. ARC Graduate Standing or Advanced Standing, Instructor Permission, and ARC 303L or . Seminar Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
BIO 4060 - Regulatory Affairs and Safety Assessment (3),"Examination of laws and regulations governing biological products, such as foods and drugs, and the environment. Approaches and toxicology methods to determine safety of biological products and compounds in the environment. Concepts in risk assessment. Culmination of material through capstone project. BIO 123/BIO 123L, / , or BIO 122/BIO 122L/BIO 1220C, or Instructor consent. Lecture Graded Only May be taken only once Major Course",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
BIO 3280 - Biology of Aging (3) [B5],"The physiology of aging, age-related diseases, biological basis of aging processes and aging intervention. Topics include basic physiological changes and chronic diseases associated with biological aging, aging theories, biomarkers used to measure biological aging, cellular signaling pathways linked with aging process, stem cells and aging, genetic and environmental impacts on aging, and aging intervention drugs and nutraceuticals. Primary literatures on these topics will be utilized to help students synthesize acquired knowledge on aging and apply that to real life decision-making, develop critical thinking in analyzing aging related information, and contribute to the broader discussion on the inter-relationships between aging manipulation, human population and environmental sustainability. Lower division GE requirements in Areas A and B. Lecture Graded Only May be taken only once GE Course May be used as approved elective support, but not for upper division core credit by students with majors in the Biological Sciences Department.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ARC 6721 - Architecture Project Management (3),The detailed study of the Architects role in the process of managing an Architectural Project from conception through construction and to occupancy. ARC graduate standing. Seminar Graded Only May be taken only once As needed; see Academic Department Major Course,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CE 4451 - Pavement Design and Construction (3),"CE 5451 Fundamental principles of structural pavement design and common design methods: AASHTO, Caltrans, Asphalt Institute and Portland Cement Association. Introduction to typical highway construction practices and activities. Laboratory testing of highway materials and quality assurance during construction are also discussed. CE 326, , or ETC 411; CE 221 or ; and BSCE, BSCET, BSCEM, or MSCE Major. Lecture 3 hours lecture/discussion Graded Only May be taken only once Major Course",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
