course_id,title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
AAE 57100,Complex System Safety,"The objective of this course is to provide students with the ability to assess the safety risk posed by engineering systems, taking into consideration hardware, software, human, and organizational factors, and using risk assessment tools that are used in practice in industry.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
AAE 61300,Viscous Flow Theory,"Compressible, laminar boundary layer theory; Buseman and Crocco integrals; skin friction and heat transfer. Introduction to turbulent boundary layers and transition phenomena. Advanced boundary layer theory; the method of inner and outer expansions. Boundary layers with chemical reaction; applications to hypersonic flow and combustion. Prerequisite: AAE 51100.",4.0,Heat Transfer;Combustion,engineering_capabilities-2;technical_skills-1,"{""combustion"": 1, ""heat transfer"": 1}"
AAE 64800,Modeling Damage And Strengthening Mechanisms In Materials,"The usage of materials is the backbone of engineering practice. Yet, advances in materials have stagnated due to overly conservative approaches, trial-and-error testing, and long qualification times. Material modeling offers tremendous opportunities to address these issues. This class offers advanced modeling strategies at the intersection of mechanics and materials science for both polycrystalline and composite materials. The course topics are defined as follows: First, advanced micromechanics analysis of modern engineering materials with emphasis on relating elastic microstructural phenomena to the mechanics of material behavior, via the Eshelby inclusion problem and its application to fiber reinforced composites. Second, classical plasticity is summarized via phenomenological and mathematical formulation of the constitutive laws, including yielding, yield surface; von Mises, Tresca yield criteria; Drucker's stability postulate; strain or work hardening, normality rule, perfect plasticity, and stress-strain law. Third, crystal plasticity is discussed, specifically physical and mathematical foundation for plasticity in crystalline materials, with a detailed description of the Bishop and Hill implementation of the Taylor model for deformation of polycrystals. Lastly, concepts of dislocations leading to strengthening mechanisms in metals are discussed: (i) by studying the anisotropy of material and elastoplastic properties at crystal level, microstructural basis for deformation in metals, polymers, and ceramics and (ii) failure mechanisms and toughening in metals, with primary emphasis on work/strain hardening, solid solution hardening, precipitate hardening, and grain boundaries. The course will be comprised of three projects, where the student chooses the topic of the third and final project. Prerequisite: AAE 55300 or equivalent.",2.5,Materials Science,engineering_capabilities-2,"{""materials science"": 1}"
ABE 30800,Heat And Mass Transfer In Biological Engineering,"Principles of transport of energy and mass. Mechanisms of heat transfer, heat conduction, heat convection and heat radiation. Development of applications using macroscopic and microscopic balances of energy. Application of thermal energy balances and Fourier's Law to describe steady state and transient conduction applications including heat generation. Effect of the geometry on these processes. Basic principles of design of heat transfer equipment and its operation. Application of species mass balances and Fick's Law to steady state and transient diffusion problems. Effect of geometry on these processes. Analogies between transport of momentum, heat and mass applications to the solution of practical problems in the Food Process and Biological Engineering fields.",2.0,Heat Transfer,technical_skills-1,"{""heat transfer"": 2}"
ABE 32000,"Solid Modeling, Simulation, And Analysis","Introduction to parametric, feature-based solid modeling; dimensioned 2D and 3D engineering drawings; tolerancing; mechanical dynamic simulation; kinematic models, analysis and simulation of simple linkages and complex systems; mechanism design and evaluation; visualization and animation of results; interfacing of computer aided engineering software. Projects involving industrial parts and assemblies will be discussed and assigned.",2.5,Engineering Drawing,engineering_capabilities-2,"{""engineering drawing"": 1}"
ABE 32500,Soil And Water Resource Engineering,"Interrelationships of the plant-water-air-soil system; hydrologic processes; protection of surface and ground water quality; GIS targeting of soil and water protection measures; and design of subsurface and overland drainage systems, irrigation systems, and soil erosion control practices.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
ABE 42500,Water Quality Engineering,"This course provides in-depth perspectives on water quality in source and environmental water systems (lakes, rivers, groundwaters, and coastal waters) including sources and causes of water quality impairments and design of workable and cost-effective management solutions. The course integrates hydrology, chemistry, biology, and ecology as foundations of water quality management and incorporates operation mechanisms of management practices in designing solutions for pollution control. Students will have opportunities to engage with lectures, water quality measurements and data analysis, computer modeling, case studies, design, and discussion sessions.",3.5,Water Quality,technical_skills-1,"{""water quality"": 5}"
ABE 43500,Hydraulic Control Systems For Mobile Equipment,"Design of basic fluid power components and systems. Includes power steering, hydrostatic and hydromechanical transmission, electrohydraulic servo valves, servomechanism, and manually controlled systems.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ABE 44400,Design And Advanced Manufacturing Processes For Internal Combustion Engines,"This course introduces the manufacture and assembly of machined piece parts into a functional assembly. The creation of a prototype internal combustion engine will be utilized as the base project for the course, and students will design and create the parts and final assemblies. Students will be given a background on the process flow of modern manufacturing by general metal machining processes, manual machine tool operation, digital machine tool programming, numerical machine tool operation, the measurement of critical machining output variables, and the assembly of piece parts into subassemblies and final products. Course participants will work as a team to develop their production parts, final presentation, and final report.",3.0,Combustion,engineering_capabilities-2,"{""combustion"": 2}"
ABE 45000,Computational Modeling And Data Analysis In Agricultural Engineering,"The course is divided into three sections. Students will (1) learn about first and second-order dynamic systems, block diagrams, modeling of mechanical and electrical systems, and control theory while using Matlab and Simulink for modeling; (2) Learn about numerical methods for modeling of continuum mechanics and transport phenomena including finite element method and finite difference method. Applications in heat transfer, fluid flow, and solid mechanics will be studied in the computer lab; (3) Learn about data analysis topics including statistical models, probability theory, regression analysis, classification techniques, and machine learning.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ABE 45300,"Leadership In Biotechnology Credit Hours: 1.00 to 3.00. This course provides students who have completed the research experience in ABE biotechnology laboratory courses an opportunity to continue their professional development by serving as peer leaders in the classroom. The ABE biotechnology laboratory courses are part of the Howard Hughes Medical Institute's (HHMI) Science Education Alliance and provide an authentic laboratory research experience with the students engaged in hands-on discovery as a scientist with the ultimate objective of contributing new viral genomes to the scientific literature and public databases. As part of the model for implementing the course-based undergraduate research experience in the biotechnology laboratory courses, senior-level students that successfully completed those courses serve as peer leaders in the classroom. Peer leaders attend the course section along with the currently enrolled students and build competencies in leadership by guiding their team on their research project throughout the semester. Permission of instructor required. Credits: 1.00 to 3.00 ABE 45700 - Unit Operations In Biological Engineering","Application of momentum and heat transfer to biological and food process engineering. Viscosity, non- Newtonian fluids, experimental methods of rheological characterization of food and biological systems; viscoelasticity; design equations for pipe flow, pumps, mixing, emulsification, extrusion, sheeting, heat exchanges, aseptic processing, sterilization, freezing, and evaporation.",4.0,Heat Transfer;Process Engineering,engineering_capabilities-2;technical_skills-1,"{""process engineering"": 1, ""heat transfer"": 1}"
ABE 46000,Sensors And Process Control,"Fundamental aspects of transducers, biosensors, instrumentation, and computer control are presented, with particular emphasis on sensors and controls used in agricultural, biological, and food applications. Laboratory and pilot plant scale computer controlled equipment is used to examine response of process variables, sensor calibration, control system modeling, and controller selection and tuning. Prerequisite: differential equations and a course in either heat transfer or fluid mechanics.",2.0,Heat Transfer;Process Control,technical_skills-1,"{""heat transfer"": 1, ""process control"": 1}"
ABE 48500,Agricultural Engineering Project Management And Design,"Team based projects are completed during the semester and documented with a written report and oral presentations. Projects encompass a broad range of topics within agricultural engineering such as the design of environmental systems, machinery, precision agriculture and robotics, and student design competitions.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ABE 49500,"Select Topics In Agricultural And Biological Engineering Credit Hours: 1.00 to 3.00. Credit and hours to be arranged. Special topics and projects of contemporary importance or of special interest that are outside the scope of the standard agricultural and biological engineering curriculum. The specific topic that is offered will be indicated on the student's record. A written report and oral presentation of final results are required. Permission of instructor required. Credits: 1.00 to 3.00 ABE 49800 - Undergraduate Research In Agricultural And Biological Engineering Credit Hours: 1.00 to 3.00. Credit and hours to be arranged. Individual research projects for students with the approval of their advisors. Requires prior approval of, and arrangement with, a faculty research advisor. A written report and public oral presentation of final results are required. Permission of instructor required. Credits: 1.00 to 3.00 ABE 49900 - Thesis Research Credit Hours: 1.00 to 6.00. Credit and hours to be arranged. Individualized research on agricultural and biological engineering problems. Arrange with program coordinator before registering. A written report and public oral presentation of final results are required. Permission of instructor required. Credits: 1.00 to 6.00 ABE 50100 - Welding Engineering","Design of weldments and modeling of heat transfer and residual stresses of the welding processes. Finite element theory of nonlinear properties for the many processes including laser, submerged arc, manual, Gas Tungsten Arc Welding (GTAW), plasma, and electron beam. Metallurgy topics include continuous cooling transformation curves in optimizing engineered joint strength, including cutting and welding. Offered in alternate years.",6.5,Heat Transfer;Welding,technical_skills-1;delivery_and_storage-3,"{""welding"": 4, ""heat transfer"": 1}"
ABE 52700,Computer Models In Environmental And Natural Resources Engineering,Offers students in environmental and natural resources engineering programs an understanding of the hydrological processes and related design skills. Principles of soil erosion by water; drainage of agricultural lands; surface runoff; flood and reservoir routing; hydrodynamic and water quality in pipe network; nonpoint source pollution; and transport phenomenon are studied. Current computer models utilized in industry for decision support are applied using case studies to further enhance the understanding of the hydrological processes. Limitations and advantages of the models are discussed. Offered in alternate years.,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
ABE 52900,Nonpoint Source Pollution Engineering,Engineering principles involved in assessment and management of nonpoint source (NPS) pollution. Effect of NPS pollution on ecosystem integrity. Use of GIS/mathematical models to quantify extent of pollution. Design/implementation of best management practices to reduce nonpoint source pollution and improve water quality. Discussion of total maximum daily load (TMDL) principles and processes.,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
ABE 54500,Design Of Off-Highway Vehicles,"Problems associated with the design of off-highway vehicles, with special emphasis on farm and industrial tractors and self-propelled machines; engines; power trains; traction; vehicle control systems; human factors; testing and evaluation of performance.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ABE 68000,"Bioseparations And Bioprocess Engineering: Principles, Practice And Economics","Engineering fundamentals of separations and purification of biological molecules. Case studies and examples illustrate principles and practice of centrifugation, precipitation, crystallization, filtration, membrane separations, chromatography, and affinity separation of recombinant proteins and other biomolecules. Process scale-up and economics of biotechnology products and processes are mentioned in the context of their impact on purification development. Prerequisites: ABE 58000.",2.5,Process Engineering,engineering_capabilities-2,"{""process engineering"": 1}"
AGEC 20400,Introduction To Resource Economics And Environmental Policy,"The course provides an overview of microeconomic theory and its application to issues related to evaluating resource economic issues and environmental policy. Topics discussed include efficiency, sustainability, valuation, externalities, governmental policies, and benefit cost analysis.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AGEC 52800,Global Change And The Challenge Of Sustainably Feeding A Growing Planet,"This course investigates the major drivers of global agricultural and environmental change associated with the global farm and food system. This includes demography, income growth, biofuels, climate change, environmental and ecosystem services, livestock consumption, food waste and land use change. Weekly modules include a guest lecture, student led discussion of readings and discussion of lab assignments undertaken using the SIMPLE model of global agriculture, environment and food security. The class culminates with a course project which is presented to the class and written up in a term paper.",3.5,Biofuels,use-3,"{""biofuels"": 1}"
AGEC 57100,Global Issues In International Agribusiness,"This is the first course in a required three-course sequence designed for students in the ""Professional Masters in International Agribusiness"" concentration in the Department of Agricultural Economics. The course objective is to expose students to a wide range of global issues directly and indirectly related to the production, processing, and marketing of agricultural products (food, fuel, fiber). Topics vary and may include food security, malnutrition, food safety, biofuels, the environment, trade and agricultural policy, emerging agricultural technologies, and climate change. Prerequisites: Enrollment in Professional Masters in International Agribusiness or permission of instructor required.",3.5,Biofuels,use-3,"{""biofuels"": 1}"
AGEC 68200,The Macroeconomics And Trade Environment Of The Food System,"Exposes students to the nature of linkages among agriculture, international markets, and the macro-economy, which are key to the fortunes of U.S. farmers and agribusiness. Exam theories and methods that allow students to establish or quantify these linkages and evaluate the consequences of alternative policies, demonstrating the usefulness of economic analysis as a tool. Also explores current policy issues facing the food and agribusiness industries, which might include farm legislation; environmental regulations; and food safety and nutrition labeling rules, among other policy topics. Permission of department required.",4.5,Environmental Regulation,sustainability_and_policy-4,"{""environmental regulation"": 1}"
AGEC 68700,Problem Solving And Project Management For Decision Makers,"Develops a structured approach to problem solving, including problem definition, development of alternatives, identifying consequences, assessing trade-offs, and making informed choices. Research methods and project management concepts will be addressed. A major business analysis project will be framed during the course, to be completed as part of the capstone course in business analysis. Permission of department required.",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
ASM 34500,Power Units And Power Trains,"An introduction to power generation and transfer in mechanical and fluid power systems. Internal combustion engines, fuels, and cycles are introduced. Clutches, mechanical transmissions, automatic transmissions, hydrostatic transmissions, and final drives are discussed. Principles of hydraulics, fluids, cylinders, pumps, motors, valves, hoses, filters, reservoirs, and accumulators are studied.",6.0,Combustion;Power Generation,engineering_capabilities-2;use-3,"{""power generation"": 1, ""combustion"": 1}"
ASM 40000,Agricultural Systems Management Study Abroad Credit Hours: 0.00 to 8.00. Utilized to record credits earned through participation in Purdue study abroad programs with cooperating foreign universities. Credits: 0.00 to 8.00 ASM 42000 - Electric Power And Controls,"Fundamentals and application of electric power for agricultural facilities; safe wiring principles; operation and performance characteristics of electric motors; applications of control systems that include monitors, sensors, relays, and programmable logic controllers.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ASM 44400,Design And Advanced Manufacturing Processes For Internal Combustion Engines,"This course introduces the manufacture and assembly of machined piece parts into a functional assembly. The creation of a prototype internal combustion engine will be utilized as the base project for the course, and students will create and test the parts and final assembly. Students will be given a background on the process flow of modern manufacturing by general metal machining processes, manual machine tool operation, digital machine tool programming, numerical machine tool operation, the measurement of critical machining output variables, and the assembly of piece parts into subassemblies and final products. Course participants will work as a team to develop their production parts, final presentation, and final report.",3.0,Combustion,engineering_capabilities-2,"{""combustion"": 2}"
ASM 49600,"Project Planning And Capstone Project Credit Hours: 1.00 to 4.00. Topics relevant to project planning and execution in industry, including technical communication, budgeting, team management, intellectual property, and timelines. Students will develop a project proposal to address contemporary issues in agricultural systems management and complete that plan related to contemporary issues in agricultural systems management. Permission of instructor required. Credits: 1.00 to 4.00 ASM 49800 - Directed Experience In Teaching Mechanized Agriculture Credit Hours: 1.00 to 3.00. This course is designed primarily for students majoring in agricultural education, extension education, agricultural systems management, and agricultural engineering. Permission of instructor required. Credits: 1.00 to 3.00 ASM 49900 - Thesis Research Credit Hours: 1.00 to 6.00. Thesis Research. Admission to honors program. Permission of instructor required. Credits: 1.00 to 6.00 ASM 51000 - Agrosecurity-Emergency Management For Agricultural Production Operations","Prepares individuals for management and loss control positions in agricultural production, agribusiness operations, and emergency management agencies. Addresses prevention, preparation, mitigation, response, and recovery from disasters such as fires, explosions, entrapments, tornadoes, floods, winter storms, earthquakes, vandalism, chemical releases, and bio-terrorism. Students complete a community service learning activity, in which they assist a farm or agribusiness manager in developing formal emergency preparedness plans.",1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
ASM 51100,Foundations In Homeland Security Studies,"An interdisciplinary course addressing prevention, mitigation, preparation, response, and recovery from catastrophic events that threaten private and public sector resources and infrastructures. Course contents will include: characteristics of security; personal/corporate perspectives; identification of assets; assessing cost/benefits of protecting assets; risk assessment and risk management; crisis decision making; emergency management resources and response infrastructures; best practices in emergency management and risk and crisis communication; business continuity; and the importance of a collaborative response. Case studies include the 9-11 attacks and Hurricane Katrina. External experts will present and career opportunities will be discussed.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
AGR 10800,Agriculture Technology And Innovation,"The course will cover a broad range of innovations and technologies involved in the agricultural industry. The broad topics covered in this class will discuss development of latest technologies assisting in increase in yield, production and efficiency of agricultural systems. This may include, but is not limited to topics regarding environmental protection, plant production, livestock systems, and agricultural machinery.",4.5,Environmental Protection,sustainability_and_policy-4,"{""environmental protection"": 1}"
AGR 11100,Introduction To Agricultural And Biological Engineering Academic Programs,"An introduction to the academic programs offered in the Department of Agricultural and Biological Engineering which include Agricultural Systems Management, Agricultural and Natural Resources Engineering, and Biological and Food Process Engineering. Topics include, but are not limited to undergraduate plans of study, courses, experiential programs, internships, student organizations, career opportunities, academic policies, scholarships, and student services. Course meets during weeks 1-8.",2.5,Process Engineering,engineering_capabilities-2,"{""process engineering"": 1}"
AGRY 12000,Water And Food Security,"General science introduction to global and regional water resources issues, especially with respect to food security. It will address the role of water in agriculture throughout the world and agriculture's impact on water resources. Students will focus first on developing the scientific underpinnings of water supply and crop water use. With this background, they will explore key issues relating to water scarcity and balancing agricultural and urban demands for water, water quality and soil salinization, water footprints of food and the use of virtual water embedded in food to offset national water deficits, regulation and roles science and policy in solving water problems.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
AGRY 12500,Environmental Science And Conservation,"(EAPS 12500, FNR 12500, NRES 12500) Introduction to environmental science and conservation includes topics in ecological principles, conservation and natural resource management, human impacts on the environment, toxic waste disposal, climate change, energy, air and water pollution, environmental geology and geologic hazards.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
AGRY 54000,Soil Chemistry,"Emphasis on processes controlling the gaseous, solution, and solid phases in soils including precipitation, acid-base, oxidation-reduction, complexation, absorption, and ion exchange.",3.5,Ion Exchange,production-3,"{""ion exchange"": 1}"
AGRY 55500,Soil And Plant Analysis,"Principles and methods of chemical analysis of plants and soils. Topics include soil carbon analysis, exchangeable cations, soil acidity, salinity, pesticide analysis, and elemental analysis of plant tissue and forage analysis. Quantitative gravimetric and volumetric techniques are reviewed followed by use of instrumental methods of analysis including atomic absorption, UV/Visible spectrometry, HPLC, and gas chromatography. Laboratory safety, quality assurance/quality control, and data reporting are emphasized. Students having at least one year of chemistry including a quantitative analysis laboratory will be suitably prepared.",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
ANTH 31300,Archaeology Of North America,"Archaeological overview of North America emphasizing Indigenous cultures prior to the arrival of Europeans, but including Contact and Post-Contact communities of the Historic Period. Topics will include the peopling of the Americas, culture and environment, social complexity, and Cultural Resource Management.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
ANTH 39000,Individual Research In Anthropology Credit Hours: 1.00 to 3.00. Individual research or reading in an area of anthropology under the guidance of an anthropology faculty member. Permission of instructor required. Credits: 1.00 to 3.00 ANTH 39200 - Selected Topics In Anthropology Credit Hours: 1.00 to 3.00. Various topics in anthropology that may change from semester to semester are presented by anthropology faculty members. Credits: 1.00 to 3.00 ANTH 39300 - Interdisciplinary Approaches To Environmental And Sustainability Studies,"(ENGL 39300) This course is the lynchpin of the undergraduate Certificate in Environmental and Sustainability Studies. It will present a series of case studies, core concepts, and problem questions that integrate the following three academic approaches: 1) Human Dimensions and Environment/Sustainability, 2) Engineering and Environment/Sustainability, and 3) Environmental/Sustainability Sciences.",6.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 5}"
ANTH 58900,Archaeology And Materials Science,This course provides instruction in the methods and theories used by archaeologists and materials scientists to study ancient and historic technology. The course focuses on the analysis and interpretation of archaeological artifacts and provides opportunities for hands-on learning.,2.5,Materials Science,engineering_capabilities-2,"{""materials science"": 1}"
BCHM 36100,Molecules,"A lecture course that relates biochemistry to organic chemistry. Chemical principles relevant to the assembly and function of macromolecules, the logic of biological free energy conversion, and enzyme catalysis are emphasized, all of which provide a foundation for the study of metabolism.",3.5,Catalysis,production-3,"{""catalysis"": 1}"
BCHM 53600,Biological And Structural Aspects Of Drug Design And Action,"(BIOL 53601) This course is aimed at expanding students' fundamental interests in biology, chemistry and biochemistry to how drugs work. The course will provide an overview of the modern day drug discovery pipeline and an in-depth look at the basic biology, structure, and mechanisms-of-action behind marketed therapeutics. The course will start with a historical account of the discovery of natural product drugs such as aspirin and penicillin and will then venture into the modern day era of drug discovery including structure-based drug design. We will explore different classes of antibiotics, antiviral, and anti-cancer drugs and their targets including small molecule drugs and modern biologics-based drugs.",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
BIOL 29500,"Special Assignments Credit Hours: 0.00 to 18.00. Reading, discussions, written reports, or laboratory work selected for enrichment in special areas of the biological sciences. Permission of instructor required. Credits: 0.00 to 18.00 BIOL 31200 - Great Issues Genomics And Society","The course will revolve around genomics, the science and technology involved in determining the sequence of the entire DNA complement in an organism. Almost everyone has heard of the human genome project, but fewer are aware of the spectacular technical progress in this field and the fact that many thousands of genomes have been sequenced. Until recently, most of these have been microorganisms, but technological and computational progress has made it progressively easier and cheaper to sequence the genomes of higher organisms. This field may have more of an impact on your future lives than almost any other field of the life sciences - mostly because it touches on all areas of study. The course will focus on the impact that genomes will have in selected areas. It will begin with a basic understanding of the science and technology that gave rise to our current capabilities in sequencing and the fact that technology continues to provide greater capacity and cheaper prices. You will soon see that every field in the College of Science is well represented in the science and technology. We will then go on to see how genomics influences many topics that affect our daily lives and can possibly provide answers to some critical questions (or at least pose better questions): What is the basis of personalized medicine? What does genomics tell us about the genealogy of mankind? What impact will genomics have on our future food supply and our ability to feed a population of 9 billion people? What is the human microbiome and what does that mean to me? Similarly, what is the gut microbiome, the mouth microbiome, etc? What impact will genomics have on the development of alternative energy sources, especially biofuels? In every area, we will discuss the scientific challenges, but also the ethical and societal implications. In most cases, there is no one right answer, but a series of choices that can be guided by ethical considerations.",3.5,Biofuels,use-3,"{""biofuels"": 1}"
BIOL 34010,Silvics Of North America,"Characteristics of trees and forest stands, including influences on growth, development, and reproduction. Additionally, the course will cover field identification and taxonomy of common trees and shrubs from North America.Credits: 3.00 BIOL 34900 - Environmental Science Credit Hours: 3.00. Examines current major environmental issues through an investigation of the biological and political aspects of human population growth, degradation of natural resources, and environmental regulations. Cannot be used as a Group A or B elective for biology majors.",4.5,Environmental Regulation,sustainability_and_policy-4,"{""environmental regulation"": 1}"
BIOL 51101,Intro To X-Ray Crystallography,"This course will provide an introduction to structure determination of macromolecules using X-ray crystallography and will attempt to balance theory and practice, consisting of ~60% lectures and ~40% lab modules. The course is divided into five 3-week modules covering (i) Crystallization, (ii) Data Collection, (iii) Molecular Replacement, (iv) Experimental Phasing, and (v) Model Building and Refinement, Validation, and Visualization. The goal of the course is to equip students with the necessary tools to develop and execute an X-ray crystallography project, starting from construct design to publication. By the end of the course, students should be familiar with the (i) structure determination pipeline, (ii) theory behind X-ray diffraction methods, (iii) methods for crystallization, (iv) phasing options for solving a crystal structure, and (v) contemporary crystallography software.",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
BIOL 53300,Medical Microbiology,"Host-parasite relationships. Immunology. Bacteria and viruses associated with infectious diseases. Credits: 3.00 BIOL 53601 - Biological And Structural Aspects Of Drug Design And Action Credit Hours: 3.00. (BCHM 53600) This course is aimed at expanding students' fundamental interests in biology, chemistry and biochemistry to how drugs work. The course will provide an overview of the modern day drug discovery pipeline and an in-depth look at the basic biology, structure, and mechanisms-of-action behind marketed therapeutics. The course will start with a historical account of the discovery of natural product drugs such as aspirin and penicillin and will then venture into the modern day era of drug discovery including structure-based drug design. We will explore different classes of antibiotics, antiviral, and anti-cancer drugs and their targets including small molecule drugs and modern biologics-based drugs.",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
BIOL 54200,"Modular Upper-Division Laboratory Course Credit Hours: 1.00 or 2.00. This is a project-oriented course designed to give the student exposure to laboratory research through a series of 5-week modules. The student must complete the introductory 5-week module or have the consent of the instructor before taking the other modules. Topics may include animal cell culture, cloning and blot analysis, DNA fingerprinting, analysis of nucleic acid sequences, animal physiology, bacterial genetics, advanced neurophysiology, chromatin structure, eukaryotic gene expression, genomics, yeast molecular biology, and molecular virology, etc. Credits: 1.00 or 2.00 BIOL 54410 - Sensory Systems","The goal of Sensory Systems is to gain an understanding of the mechanisms that underlie sensory perception at the molecular, cellular, and systems level. This will be accomplished by examining how various forms of energy are transduced into the electrochemical messages of the nervous system, what pathways the information travels within the nervous system, and how this information is processed and perceived.",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
BIOL 59500,"Special Assignments Credit Hours: 0.00 to 18.00. Special work, such as directed reading, independent study or research, supervised library, laboratory, or field work, or presentation of material not available in the formal courses of the department. The field in which work is offered will be indicated in the student's record. Permission of instructor required. Credits: 0.00 to 18.00 BIOL 60000 - Bioenergetics","Energy transduction in biological membranes: physical chemical foundations; electron transfer, proton translocation; and active transport. Atomic structures of integral membrane protein complexes responsible for respiratory, photosynthetic generation of electrochemical potential; ATPase motor, and structure-based mechanisms. Offered in alternate years. Prerequisite: BCHM 56100, BCHM 56200 and CHM 37300.",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
